#,x,y,E,Width,Length,Iterations
51.0,0.07757125166949934,5.187029111173489,1422045.9183314235,,,
51.0,2.6854947508753177,6.763010173914633,1317946.9386430008,,,
52.0,0.01,5.0,1641063.0,,,
52.0,2.404024119382688,5.1440759394889835,1549364.0804273384,,,
52.0,6.479563107949005,3.8008108956604927,1402967.8725995717,,,
52.0,9.361129676755047,5.1686050299044854,1148854.1106320785,,,
53.0,0.01,5.0,1641063.0,,,
53.0,2.1813883115499495,3.2795794005646135,1009827.8389449115,,,
53.0,2.4451147472977004,3.508621287467572,923696.521039121,,,
53.0,5.787607226988667,1.1175019842675904,612318.6243010383,,,
53.0,7.239927620087428,2.89669204411569,244330.0545135778,,,
54.0,0.01,5.0,1641063.0,,,
55.0,0.01,5.0,1641063.0,,,
55.0,0.7240851448199098,2.5714942121671718,1411392.828187475,,,
55.0,1.4802987458316696,2.145103202023077,1310665.8824592126,,,
55.0,3.603333214621188,2.8973461547384423,1228507.247668465,,,
55.0,4.368104995765755,2.3265802767213306,1130533.8961075768,,,
56.0,0.01,5.0,1641063.0,,,
56.0,0.5486823357805043,4.383923121573867,710117.2668810479,,,
56.0,0.8351691334619845,4.654668132537165,375290.3632406435,,,
57.0,0.01,5.0,1641063.0,,,
57.0,4.405216545455097,4.628048351748341,1549010.2332946537,,,
58.0,0.01,5.0,1641063.0,,,
58.0,2.6592903537455017,2.2902929315330622,801903.0745155403,,,
58.0,8.329139016682833,6.272530994315772,538193.6329594357,,,
59.0,0.01,5.0,1641063.0,,,
59.0,0.09603316689437105,4.9145655459378705,826341.8388813155,,,
60.0,0.01,5.0,1641063.0,,,
60.0,0.87945525487151,4.0840711141772905,777504.2319365165,,,
60.0,2.7259623780903963,6.116680997885592,703579.2719576966,,,
61.0,0.01,5.0,1641063.0,,,
61.0,0.11333292732721191,4.876775275613031,676339.3722374926,,,
62.0,0.01,5.0,1641063.0,,,
63.0,0.01,5.0,1641063.0,,,
63.0,4.693781379483645,5.320065579938268,1640501.9503605526,,,
63.0,9.39340198530136,5.906837620261153,1622233.24589094,,,
64.0,0.01,5.0,1641063.0,,,
64.0,7.891464524877022,9.577476789373815,1522688.4659469384,,,
64.0,9.665496517911627,9.219278389619733,1469144.5094272434,,,
65.0,0.01,5.0,1641063.0,,,
66.0,0.01,5.0,1641063.0,,,
67.0,0.01,5.0,1641063.0,,,
67.0,1.9847516065743496,5.712671250824691,1457452.7644282458,,,
67.0,2.2966633293214995,6.3310781815361725,1281267.6945090264,,,
68.0,0.01,5.0,1641063.0,,,
69.0,0.01,5.0,1641063.0,,,
70.0,0.01,5.0,1641063.0,,,
70.0,4.036071043025172,9.214103713102723,782809.8875686951,,,
71.0,0.01,5.0,1641063.0,,,
71.0,0.9779278164075212,2.5564032948227777,217383.14050605873,,,
72.0,0.01,5.0,1641063.0,,,
72.0,3.022433301175872,6.815516735137526,1521053.4271344275,,,
73.0,0.01,5.0,1641063.0,,,
73.0,0.057342672889546406,5.057555113002881,660922.7325070978,,,
74.0,0.01,5.0,1641063.0,,,
74.0,5.31873377135097,6.917771544370589,1457118.9755642284,,,
75.0,0.01,5.0,1641063.0,,,
75.0,2.4552863933884055,6.866742554516627,1038722.855478607,,,
75.0,2.8176302821358004,6.650191137707576,767506.3802160211,,,
75.0,4.109904660530048,9.0012833807498,677487.3424343282,,,
76.0,0.01,5.0,1641063.0,,,
76.0,2.8807976030739577,3.467201870656072,1280996.428074396,,,
76.0,3.0689636266669376,2.192542704061609,1082349.7801525788,,,
76.0,6.690020340822715,0.8466936689397915,954548.2378264188,,,
76.0,7.196589584679463,1.6173449903400219,850046.1370711625,,,
77.0,0.01,5.0,1641063.0,,,
77.0,1.2320193607892298,3.2422621668345526,1465509.8688987321,,,
77.0,4.633953353697638,1.5219644265119276,1364701.9017246724,,,
78.0,0.01,5.0,1641063.0,,,
79.0,0.01,5.0,1641063.0,,,
79.0,8.626527244407237,4.914610498072675,1648032.9687014688,,,
80.0,0.01,5.0,1641063.0,,,
80.0,1.6010919208189145,3.526704106349956,884097.7591727688,,,
80.0,6.404121312406196,8.022876133589051,471459.8145497473,,,
